user38809,tcp,30,1,38809,2024-04-21,2024-05-21,8001
user58674,tcp,17,1,58674,2024-04-21,2024-05-08,8001
user12094,tcp,18,1,12094,2024-04-21,2024-05-09,8001
user64687,ws,1,1,64687,2024-04-21,2024-04-22,7001
user54809,tcp,27,1,54809,2024-04-21,2024-05-18,8001
user53510,tcp,30,1,53510,2024-04-21,2024-05-21,8001
user60478,tcp,14,1,60478,2024-04-22,2024-05-06,8001
user13836,tcp,16,1,13836,2024-04-22,2024-05-08,8001
user36133,tcp,1,1,36133,2024-04-22,2024-04-23,8001
user25460,tcp,2,1,25460,2024-04-22,2024-04-24,8001
user64720,tcp,1,1,64720,2024-04-22,2024-04-23,8001
user20886,tcp,30,1,20886,2024-04-22,2024-05-22,8001
user12052,tcp,30,1,12052,2024-04-22,2024-05-22,8001
user51056,tcp,30,1,51056,2024-04-22,2024-05-22,8001
user42962,tcp,1,1,42962,2024-04-22,2024-04-23,8001
user45303,tcp,63,1,45303,2024-04-22,2024-06-24,8001
user20457,tcp,30,1,20457,2024-04-22,2024-05-22,8001
user44838,tcp,1,1,44838,2024-04-23,2024-04-24,8001
user10438,tcp,30,1,10438,2024-04-23,2024-05-23,8001
user18046,tcp,30,1,18046,2024-04-23,2024-05-23,8001
user14566,tcp,3,1,14566,2024-04-23,2024-04-26,8001
user50244,tcp,5,1,50244,2024-04-23,2024-04-28,8001
user17601,tcp,3,1,17601,2024-04-23,2024-04-26,8001
user50876,tcp,29,1,50876,2024-04-23,2024-05-22,8001
user50531,ws,29,1,50531,2024-04-23,2024-05-22,7001
user32587,tcp,25,1,32587,2024-04-24,2024-05-19,8001
user48722,tcp,28,1,48722,2024-04-24,2024-05-22,8001
user33742,tcp,1,1,33742,2024-04-25,2024-04-26,8001
user47774,tcp,24,1,47774,2024-04-25,2024-05-19,8001
user44596,tcp,1,1,44596,2024-04-25,2024-04-26,8001
user18330,tcp,30,1,18330,2024-04-25,2024-05-25,8001
user22591,tcp,1,1,22591,2024-04-25,2024-04-26,8001
user24123,tcp,1,1,24123,2024-04-25,2024-04-26,8001
user57176,tcp,13,1,57176,2024-04-25,2024-05-08,8001
user16416,tcp,7,1,16416,2024-04-25,2024-05-02,8001
user23973,tcp,1,1,23973,2024-04-25,2024-04-26,8001
user36752,tcp,12,1,36752,2024-04-26,2024-05-08,8001
user22113,tcp,10,1,22113,2024-04-26,2024-05-06,8001
user11540,tcp,24,1,11540,2024-04-26,2024-05-20,8001
user15922,tcp,1,1,15922,2024-04-26,2024-04-27,8001
user12227,tcp,22,1,12227,2024-04-27,2024-05-19,8001
user34458,tcp,12,1,34458,2024-04-27,2024-05-09,8001
user49984,tcp,22,1,49984,2024-04-27,2024-05-19,8001
user48228,tcp,1,1,48228,2024-04-27,2024-04-28,8001
user37393,tcp,30,1,37393,2024-04-27,2024-05-27,8001
user32863,tcp,10,1,32863,2024-04-27,2024-05-07,8001
user35341,tcp,27,1,35341,2024-04-27,2024-05-24,8001
user37285,tcp,13,1,37285,2024-04-27,2024-05-10,8001
user19077,tcp,1,1,19077,2024-04-28,2024-04-29,8001
user28908,tcp,13,1,28908,2024-04-28,2024-05-11,8001
user10453,tcp,26,1,10453,2024-04-28,2024-05-24,8001
user52783,tcp,27,1,52783,2024-04-28,2024-05-25,8001
user64317,ws,1,1,64317,2024-04-28,2024-04-29,7001
user22232,ws,21,1,22232,2024-04-28,2024-05-19,7001
user49845,ws,1,1,49845,2024-04-29,2024-04-30,7001
user31402,ws,20,1,31402,2024-04-29,2024-05-19,7001
user45112,ws,20,1,45112,2024-04-29,2024-05-19,7001
user56806,tcp,20,1,56806,2024-04-29,2024-05-19,8001
user59978,tcp,1,1,59978,2024-04-29,2024-04-30,8001
user42276,ws,1,1,42276,2024-04-29,2024-04-30,7001
user47813,tcp,30,1,47813,2024-04-29,2024-05-29,8001
user51419,ws,1,1,51419,2024-04-29,2024-04-30,7001
user58212,ws,16,1,58212,2024-04-29,2024-05-15,7001
user52682,ws,20,1,52682,2024-04-29,2024-05-19,7001
user26238,ws,26,1,26238,2024-04-30,2024-05-26,7001
user59647,ws,3,1,59647,2024-04-30,2024-05-03,7001
user59347,ws,3,1,59347,2024-05-05,2024-05-05,7001
user46726,tcp,30,1,46726,2024-05-05,2024-05-05,8001
user36089,tcp,30,1,36089,2024-05-05,2024-05-05,8001
user44246,ws,0,2,44246,2024-05-05,2024-05-05,7002
user63316,tcp,30,3,63316,2024-05-05,2024-05-05,8003
user60897,tcp,30,1,60897,2024-05-06,2024-06-05,8001
user48185,tcp,30,1,48185,2024-05-06,2024-06-05,8001
user61529,ws,0,1,61529,2024-05-05,2024-05-05,7001
user38061,tcp,0,1,38061,2024-05-06,2024-05-06,8001
user39368,tcp,0,1,39368,2024-05-06,2024-05-06,8001
user47942,tcp,0,1,47942,2024-05-06,2024-05-06,8001
user43125,ws,0,1,43125,2024-05-06,2024-05-06,7001
user35748,ws,30,1,35748,2024-05-06,2024-06-05,7001
user50862,ws,0,1,50862,2024-05-06,2024-05-06,7001
user43791,ws,0,1,43791,2024-05-06,2024-05-06,7001
user50819,ws,0,1,50819,2024-05-06,2024-05-06,7001
user58014,tcp,0,1,58014,2024-05-06,2024-05-06,8001
user39145,ws,0,1,39145,2024-05-06,2024-05-06,7001
user59758,tcp,0,1,59758,2024-05-06,2024-05-06,8001
user63740,tcp,16,1,63740,2024-05-06,2024-05-22,8001
user58940,tcp,3,1,58940,2024-05-06,2024-05-09,8001
